type,stop_name,stop_lat,stop_lon,route_desc,route_type
Train,"Emu Plains Station, Platform 1",-33.74567905,150.6714684,Sydney Trains Network,2
Train,"Emu Plains Station, Platform 2",-33.74575009,150.6715037,Intercity Trains Network,2
Train,"Emu Plains Station, Platform 2",-33.74575009,150.6715037,Sydney Trains Network,2
Train,"Engadine Station, Platform 1",-34.06783392,151.0146824,Intercity Trains Network,2
Train,"Engadine Station, Platform 1",-34.06783392,151.0146824,Sydney Trains Network,2
Train,"Engadine Station, Platform 2",-34.06787608,151.014771,Intercity Trains Network,2
Train,"Engadine Station, Platform 2",-34.06787608,151.014771,Sydney Trains Network,2
Train,"Epping Station, Platform 1",-33.77301778,151.0823283,Intercity Trains Network,2
Train,"Epping Station, Platform 1",-33.77301778,151.0823283,Sydney Trains Network,2
Train,"Epping Station, Platform 2",-33.77305841,151.0821899,Intercity Trains Network,2
Train,"Epping Station, Platform 2",-33.77305841,151.0821899,Sydney Trains Network,2
Train,"Epping Station, Platform 3",-33.77258296,151.0818545,Intercity Trains Network,2
Train,"Epping Station, Platform 3",-33.77258296,151.0818545,Sydney Trains Network,2
Train,"Erskineville Station, Platform 1",-33.90067976,151.1851853,Sydney Trains Network,2
Train,"Erskineville Station, Platform 2",-33.90069444,151.1852832,Sydney Trains Network,2
Train,"Erskineville Station, Platform 3",-33.90070949,151.1853704,Sydney Trains Network,2
Train,"Erskineville Station, Platform 4",-33.90071518,151.1854679,Sydney Trains Network,2
Train,"Exeter Station, Platform 1",-34.61349957,150.3175036,Intercity Trains Network,2
Train,"Exeter Station, Platform 2",-34.61356111,150.3175606,Intercity Trains Network,2
Train,"Fairfield Station, Platform 1",-33.87245583,150.9568636,Sydney Trains Network,2
Train,"Fairfield Station, Platform 2",-33.87250808,150.95692,Sydney Trains Network,2
Train,"Fairy Meadow Station, Platform 1",-34.39528273,150.8963623,Intercity Trains Network,2
Train,"Fairy Meadow Station, Platform 2",-34.39531595,150.8964508,Intercity Trains Network,2
Train,"Fassifern Station, Platform 1",-32.98557174,151.5810149,Intercity Trains Network,2
Train,"Fassifern Station, Platform 2",-32.98555729,151.580918,Intercity Trains Network,2
Train,"Faulconbridge Station, Platform 1",-33.69650267,150.5349515,Intercity Trains Network,2
Train,"Faulconbridge Station, Platform 2",-33.69654583,150.535018,Intercity Trains Network,2
Train,"Flemington Station, Platform 1",-33.86477497,151.0699667,Sydney Trains Network,2
Train,"Flemington Station, Platform 2",-33.86482031,151.069958,Sydney Trains Network,2
Train,"Flemington Station, Platform 3",-33.86492034,151.0699304,Sydney Trains Network,2
Train,"Flemington Station, Platform 4",-33.86497503,151.0699114,Sydney Trains Network,2
Train,"Gerringong Station, Platform 1",-34.74475297,150.8175791,Intercity Trains Network,2
Train,"Glenbrook Station, Platform 1",-33.76901962,150.6209267,Intercity Trains Network,2
Train,"Glenbrook Station, Platform 2",-33.76911059,150.6208982,Intercity Trains Network,2
Train,"Glenfield Station, Platform 1",-33.97243517,150.8927092,Sydney Trains Network,2
Train,"Glenfield Station, Platform 2",-33.97247014,150.8927432,Intercity Trains Network,2
Train,"Glenfield Station, Platform 2",-33.97247014,150.8927432,Sydney Trains Network,2
Train,"Glenfield Station, Platform 3",-33.97252139,150.8928321,Intercity Trains Network,2
Train,"Glenfield Station, Platform 3",-33.97252139,150.8928321,Sydney Trains Network,2
Train,"Glenfield Station, Platform 4",-33.97256467,150.8928881,Intercity Trains Network,2
Train,"Glenfield Station, Platform 4",-33.97256467,150.8928881,Sydney Trains Network,2
Train,"Gordon Station, Platform 1",-33.75566323,151.1543277,Intercity Trains Network,2
Train,"Gordon Station, Platform 1",-33.75566323,151.1543277,Sydney Trains Network,2
Train,"Gordon Station, Platform 2",-33.75571112,151.1542437,Sydney Trains Network,2
Train,"Gordon Station, Platform 3",-33.75573992,151.1541912,Intercity Trains Network,2
Train,"Gordon Station, Platform 3",-33.75573992,151.1541912,Sydney Trains Network,2
Train,"Gosford Station, Platform 1",-33.4236742,151.3417323,Intercity Trains Network,2
Train,"Gosford Station, Platform 2",-33.42365922,151.3416456,Intercity Trains Network,2
Train,"Gosford Station, Platform 3",-33.42362851,151.3414936,Intercity Trains Network,2
Train,"Goulburn Station, Platform 1",-34.75815401,149.7194259,Intercity Trains Network,2
Train,"Granville Station, Platform 1",-33.83281767,151.0122386,Sydney Trains Network,2
Train,"Granville Station, Platform 2",-33.8328914,151.0121881,Sydney Trains Network,2
Train,"Granville Station, Platform 3",-33.83297483,151.0121164,Sydney Trains Network,2
Train,"Granville Station, Platform 4",-33.83304027,151.0120439,Sydney Trains Network,2
Train,"Green Square Station, Platform 1",-33.90605267,151.2025322,Sydney Trains Network,2
Train,"Green Square Station, Platform 2",-33.90611305,151.2026108,Sydney Trains Network,2
Train,"Greta Station, Platform 1",-32.68674615,151.3842088,Intercity Trains Network,2
Train,"Greta Station, Platform 2",-32.68676787,151.3841033,Intercity Trains Network,2
Train,"Guildford Station, Platform 1",-33.85430121,150.9844405,Sydney Trains Network,2
Train,"Guildford Station, Platform 2",-33.85437144,150.9844977,Sydney Trains Network,2
Train,"Gymea Station, Platform 1",-34.03492672,151.0854368,Sydney Trains Network,2
Train,"Gymea Station, Platform 2",-34.03484539,151.0854437,Sydney Trains Network,2
Train,"Hamilton Station, Platform 1",-32.9185507,151.7485668,Intercity Trains Network,2
Train,"Hamilton Station, Platform 2",-32.91834759,151.7484598,Intercity Trains Network,2
Train,"Harris Park Station, Platform 1",-33.82356755,151.0076925,Sydney Trains Network,2
Train,"Harris Park Station, Platform 2",-33.82355166,151.0076269,Sydney Trains Network,2
Train,"Harris Park Station, Platform 3",-33.82352783,151.0075287,Sydney Trains Network,2
Train,"Harris Park Station, Platform 4",-33.82351194,151.0074631,Sydney Trains Network,2
Train,"Hawkesbury River Station, Platform 1",-33.54698131,151.2264961,Intercity Trains Network,2
Train,"Hawkesbury River Station, Platform 2",-33.54691155,151.2264282,Intercity Trains Network,2
Train,"Hazelbrook Station, Platform 1",-33.72374527,150.4542463,Intercity Trains Network,2
Train,"Hazelbrook Station, Platform 2",-33.72377319,150.454215,Intercity Trains Network,2
Train,"Heathcote Station, Platform 1",-34.08790327,151.0082559,Intercity Trains Network,2
Train,"Heathcote Station, Platform 1",-34.08790327,151.0082559,Sydney Trains Network,2
Train,"Heathcote Station, Platform 2",-34.08795513,151.0083233,Intercity Trains Network,2
Train,"Heathcote Station, Platform 2",-34.08795513,151.0083233,Sydney Trains Network,2
